TestTime_s_,Current_A_
114,0.983290488431877
115,0.713367609254499
116,0.269922879177378
117,0.269922879177378
118,0.327763496143959
119,1.40745501285347
120,1.2146529562982
121,0.809768637532134
122,0.57840616966581
123,0.443444730077121
124,0.250642673521851
125,0.077120822622108
126,0.019280205655527
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,-0.231362467866324
137,-1.79305912596401
138,-3.33547557840617
139,-4.53084832904884
140,-5.76478149100257
141,-5.2827763496144
142,-5.5719794344473
143,-5.70694087403599
144,-3.52827763496144
145,-2.56426735218509
146,-2.2172236503856
147,-2.73778920308483
148,-1.77377892030848
149,-2.4293059125964
150,-1.7159383033419
151,-1.27249357326478
152,-1.29177377892031
153,-1.94730077120823
154,-0.694087403598972
155,-0.694087403598972
156,-1.98586118251928
157,-3.52827763496144
158,-1.77377892030848
159,-2.83419023136247
160,-1.33033419023136
161,-2.9305912596401
162,-1.38817480719794
163,-1.38817480719794
164,-1.40745501285347
165,0.173521850899743
166,0.501285347043702
167,-0.462724935732648
168,-0.289203084832905
169,0.019280205655527
170,-1.11825192802057
171,0.231362467866324
172,-1.44601542416452
173,-0.096401028277635
174,-0.597686375321337
175,-0.269922879177378
176,-1.07969151670951
177,-1.09897172236504
178,-0.424164524421594
179,-0.250642673521851
180,-0.57840616966581
181,-0.57840616966581
182,0.327763496143959
183,0.077120822622108
184,-1.34961439588689
185,0.96401028277635
186,-4.68508997429306
187,-2.35218508997429
188,-2.9305912596401
189,-2.48714652956298
190,-0.983290488431877
191,-3.08483290488432
192,-1.73521850899743
193,-2.83419023136247
194,-1.61953727506427
195,-1.81233933161954
196,-2.02442159383033
197,-0.944730077120822
198,-0.019280205655527
199,-1.48457583547558
200,-2.06298200514139
201,-0.212082262210797
202,-1.13753213367609
203,-1.33033419023136
204,-3.04627249357327
205,-0.616966580976864
206,-1.36889460154242
207,-1.36889460154242
208,-1.38817480719794
209,-1.77377892030848
210,-1.79305912596401
211,-2.41002570694087
212,-1.06041131105398
213,-1.85089974293059
214,1.06041131105398
215,-0.057840616966581
216,-1.54241645244216
217,-1.36889460154242
218,-0.231362467866324
219,-2.12082262210797
220,-0.809768637532134
221,-0.424164524421594
222,-1.56169665809769
223,0.154241645244216
224,-2.10154241645244
225,-0.809768637532134
226,-1.17609254498715
227,-0.616966580976864
228,-1.36889460154242
229,0.096401028277635
230,-1.15681233933162
231,-1.90874035989717
232,-1.17609254498715
233,-1.56169665809769
234,-1.96658097686375
235,-1.60025706940874
236,0.347043701799486
237,-1.36889460154242
238,0.347043701799486
239,-2.08226221079692
240,0.038560411311054
241,-2.08226221079692
242,-0.597686375321337
243,-0.038560411311054
244,-1.13753213367609
245,-0.77120822622108
246,-1.52313624678663
247,-1.15681233933162
248,-0.790488431876607
249,0.173521850899743
250,-0.944730077120822
251,-1.67737789203085
252,-0.77120822622108
253,0.057840616966581
254,-1.29177377892031
255,-0.751928020565553
256,-0.925449871465296
257,-1.11825192802057
258,-0.38560411311054
259,-1.65809768637532
260,-1.50385604113111
261,-0.019280205655527
262,-0.925449871465296
263,-1.11825192802057
264,-0.019280205655527
265,-2.58354755784062
266,-0.944730077120822
267,-0.019280205655527
268,-1.87017994858612
269,-0.212082262210797
270,-0.38560411311054
271,-0.559125964010283
272,-0.732647814910026
273,-1.46529562982005
274,-0.925449871465296
275,-0.925449871465296
276,-0.751928020565553
277,-1.65809768637532
278,-0.559125964010283
279,-0.925449871465296
280,-1.29177377892031
281,-1.48457583547558
282,-0.77120822622108
283,-3.00771208226221
284,-2.12082262210797
285,-1.96658097686375
286,-1.60025706940874
287,-2.58354755784062
288,-1.44601542416452
289,-2.85347043701799
290,-1.48457583547558
291,-1.69665809768638
292,-2.73778920308483
293,-1.13753213367609
294,-2.15938303341902
295,-1.77377892030848
296,-1.79305912596401
297,-6.073264781491
298,-2.12082262210797
299,-7.5
300,1.13753213367609
301,-0.462724935732648
302,-1.29177377892031
303,-0.867609254498715
304,-2.35218508997429
305,-1.94730077120823
306,0.19280205655527
307,-0.424164524421594
308,-0.636246786632391
309,-1.25321336760925
310,-0.829048843187661
311,-1.44601542416452
312,-1.25321336760925
313,-1.65809768637532
314,-3.18123393316195
315,-2.37146529562982
316,-3.48971722365039
317,-4.01028277634961
318,-3.4318766066838
319,-5.10925449871465
320,-4.06812339331619
321,-3.68251928020566
322,-3.68251928020566
323,1.09897172236504
324,-0.559125964010283
325,-3.25835475578406
326,-4.24164524421594
327,-2.44858611825193
328,-4.12596401028278
329,-2.54498714652956
330,-2.56426735218509
331,-1.63881748071979
332,-2.60282776349614
333,-1.65809768637532
334,0.077120822622108
335,-1.61953727506427
336,-0.674807197943445
337,-0.674807197943445
338,0.308483290488432
339,0.308483290488432
340,1.07969151670951
341,0.732647814910026
342,0.790488431876607
343,1.65809768637532
344,0.404884318766067
345,-1.65809768637532
346,0.038560411311054
347,-0.674807197943445
348,-1.63881748071979
349,-0.867609254498715
350,-3.04627249357327
351,-1.69665809768638
352,-2.9305912596401
353,-1.13753213367609
354,-1.94730077120823
355,-0.154241645244216
356,-0.944730077120822
357,-0.925449871465296
358,0.212082262210797
359,0.096401028277635
360,-0.482005141388175
361,-0.289203084832905
362,-1.63881748071979
363,-1.85089974293059
364,-0.289203084832905
365,-1.63881748071979
366,-2.44858611825193
367,-2.10154241645244
368,-1.90874035989717
369,-1.52313624678663
370,-1.94730077120823
371,-1.96658097686375
372,-0.559125964010283
373,-2.79562982005141
374,-1.17609254498715
375,-1.17609254498715
376,-2.4293059125964
377,-2.04370179948586
378,-1.63881748071979
379,-1.87017994858612
380,0
381,-1.85089974293059
382,-0.597686375321337
383,0
384,-1.60025706940874
385,-1.61953727506427
386,-0.173521850899743
387,-0.57840616966581
388,-2.4293059125964
389,-0.790488431876607
390,-0.790488431876607
391,-2.02442159383033
392,-1.83161953727506
393,-1.2146529562982
394,-1.2146529562982
395,-2.89203084832905
396,-0.829048843187661
397,-1.44601542416452
398,-0.829048843187661
399,-1.65809768637532
400,-1.87017994858612
401,-1.46529562982005
402,-0.212082262210797
403,-2.08226221079692
404,-2.31362467866324
405,-1.69665809768638
406,-2.79562982005141
407,-0.674807197943445
408,-1.29177377892031
409,-0.867609254498715
410,-1.07969151670951
411,-1.07969151670951
412,-2.79562982005141
413,-1.73521850899743
414,-2.17866323907455
415,-0.019280205655527
416,0
417,-0.19280205655527
418,-1.426735218509
419,-2.06298200514139
420,0.077120822622108
421,-2.89203084832905
422,0.134961439588689
423,-1.426735218509
424,0.404884318766067
425,-0.559125964010283
426,0.019280205655527
427,-1.34961439588689
428,-0.944730077120822
429,-0.134961439588689
430,-0.327763496143959
431,-1.50385604113111
432,-1.31105398457584
433,-1.11825192802057
434,-0.327763496143959
435,-0.713367609254499
436,0.096401028277635
437,-1.65809768637532
438,-0.289203084832905
439,-1.46529562982005
440,-0.096401028277635
441,-1.44601542416452
442,0.038560411311054
443,1.61953727506427
444,-0.925449871465296
445,0.173521850899743
446,-0.366323907455013
447,-1.44601542416452
448,-0.366323907455013
449,-1.44601542416452
450,-0.906169665809769
451,-1.63881748071979
452,-0.925449871465296
453,-0.925449871465296
454,-0.925449871465296
455,-1.65809768637532
456,-0.19280205655527
457,-1.65809768637532
