TestTime_s_,Current_A_
111,-1.66153880111381
112,-2.27711541010497
113,-2.02202810398861
114,-1.45183287636007
115,-1.30068366951318
116,-0.645947403747341
117,0.265340067572279
118,0.400020306377336
119,-1.23334354913643
120,-1.68971920626247
121,-2.31590917970041
122,-2.36348635176575
123,-2.60137268166815
124,-2.16366190019349
125,-1.56528638627155
126,-0.360117868466836
127,0.265340067572279
128,4.01625777833503
129,3.67406740547895
130,3.44679455887861
131,2.92344472895691
132,2.33641470261226
133,1.71827624037891
134,0.000371350624743642
135,5.37771383451452e-06
136,0.000371350624743642
137,0.000371350624743642
138,0.000371350624743642
139,0.000737329380993895
140,0.000371350624743642
141,0.000371350624743642
142,0.000371350624743642
143,0.000737329380993895
144,0.000737329380993895
145,0.000371350624743642
146,0.000371350624743642
147,0.000371350624743642
148,0.000371350624743642
149,0.000737329380993895
150,0.000737329380993895
151,0.000371350624743642
152,0.000371350624743642
153,0.000737329380993895
154,0.000737329380993895
155,0.000737329380993895
156,0.000371350624743642
157,0.000371350624743642
158,0.000371350624743642
159,0.000371350624743642
160,0.000371350624743642
161,0.000737329380993895
162,0.000371350624743642
163,0.000371350624743642
164,0.000371350624743642
165,0.000371350624743642
166,0.000371350624743642
167,0.000371350624743642
168,0.000371350624743642
169,0.000371350624743642
170,0.000737329380993895
171,0.000371350624743642
172,0.000371350624743642
173,0.000371350624743642
174,5.37771383451452e-06
175,0.000371350624743642
176,-1.97445070005808
177,-2.71482618963119
178,-3.44641781105556
179,-4.28158181798195
180,-5.37329691355529
181,-6.27506891383104
182,-5.4878483753231
183,-5.29827134451343
184,-4.19667442698657
185,-2.28699676637963
186,0.51310781025431
187,0.351711096913173
188,0.142371160657912
189,-1.39437423111325
190,-1.15831786513619
191,-1.1678332757782
192,-1.70911609008597
193,-4.03527814814913
194,0.52262322284477
195,2.63981107205925
196,1.14844719219665
197,3.02957861698066
198,1.30984381980612
199,0.199829850719013
200,-1.91845595424869
201,-1.2717712561924
202,-2.94283092749684
203,-5.02195707568985
204,-5.79124474477009
205,-7.5
206,-7.5
207,-7.5
208,-7.5
209,-4.74710705507573
210,-7.5
211,-5.65876041357458
212,-7.5
213,-7.18635621173887
214,-7.5
215,-5.47833261590907
216,-5.15407534434589
217,-4.86056033117356
218,-1.97445070005808
219,-1.20516314593622
220,-1.64177597165766
221,-1.17771474895969
222,-1.92650758041165
223,-1.9268735260443
224,-1.92650758041165
225,-1.9268735260443
226,-2.78180024746847
227,-2.80083107070094
228,-4.09090659955385
229,-4.59595773132202
230,-4.69001435546156
231,-3.89181427306054
232,-4.40528251289392
233,-4.93705015037332
234,-4.11030371719099
235,-4.63292165584739
236,-5.65876041357458
237,-7.5
238,-7.42460837036711
239,-5.20201881081589
240,-4.28158181798195
241,-3.29453659603655
242,-2.3254244734356
243,-1.40425570429473
244,-2.76276942423599
245,-3.74029888676736
246,-4.31927739995897
247,-4.87080775193615
248,-3.8822987455117
249,-4.9740136072714
250,-3.96830362658145
251,-4.56704531994968
252,-3.54084049773457
253,-3.04713497239896
254,-2.14499690763529
255,-3.01858862161765
256,-3.01858862161765
257,-3.01858862161765
258,-3.01858862161765
259,-3.01858862161765
260,-2.5153675687332
261,-1.57516774254621
262,-1.54771934751813
263,0.293886416405139
264,-0.40806110502009
265,-0.872488300628976
266,-1.83208501063946
267,-1.31019908015519
268,-2.17317742774232
269,-4.12933430660982
270,-3.16241832738052
271,-3.1704698385851
272,-2.69579513453352
273,-1.31934854516456
274,-0.787581199952212
275,-0.778065789310199
276,-0.739637965347406
277,-0.198721168764828
